Item,Quantity,Description,Product line
1,2,4040-A 290mm extrusion,Ender 3 part
2,2,4040-A 290m extrusion,Ender 3 part
3,4,2040-B 400mm extrusion,Ender 3 part
4,2,2040-C 345mm extrusion,Ender 3 part
5,2,2020-E 345mm extrusion,Ender 3 part
6,5,Nema 17 42-34 motor,Ender 3 part
7,3,Motor coupler D5/8,Ender 3 part
8,3,T8 lead screw,Ender 3 part
9,1,235x235 Heat bed,Ender 3 part
10,2,M5x25 SHCS,Ender 3 part
11,1,2040-C 345mm extrusion,Extrusion
12,1,2020-E 345mm extrusion,Extrusion
13,2,2020V 200mm,Extrusion
14,1,2020V 300mm,Extrusion
15,97,M5x8 BHCS,Fastener
16,41,M5 T-slot nut,Fastener
17,3,M5x16 BHCS,Fastener
18,3,M5x5x7 Heat set insert,Fastener
19,4,M4x25 FHCS,Fastener
20,94,M3x8 SHCS,Fastener
21,9,M3x6 BHCS,Fastener
22,54,M3 T-slot nut,Fastener
23,26,M3x5x4 Heat set insert,Fastener
24,6,M3 Hex nut,Fastener
25,3,TR8x8 leadscrew nut,Fastener
26,3,GE5C bearing,Fastener
27,2,M5 Hex nut,Fastener
28,4,M3x8 BHCS,Fastener
29,2,M3 Hammerhead nut,Fastener
30,6,M3x35 SHCS,Fastener
31,14,M3x30 SHCS,Fastener
32,8,M3x6 SHCS,Fastener
33,4,12mm silicone spacer,Hardware
34,2,M3x20mm pin,Hardware
35,6,MGN9H 300mm rail,Kinematics
36,6,MGN9H carriage,Kinematics
37,39,M3x0.5mm shim,Kinematics
38,5,M3x10mm spacer,Kinematics
39,8,M3 pin,Kinematics
40,10,16T 6W 3B toothless idler,Kinematics
41,2,GT2 16T 6W 5B pulley,Kinematics
42,2,F695-2RS bearing,Kinematics
43,1,GT2 6mm belt  approx. 1.5m,Kinematics
44,1,GT2 6mm belt approx. 1.5m,Kinematics
45,2,16T6W3B toothed idler,Kinematics
46,3,Top Z spacer,Printed part
47,2,Bottom Z spacer,Printed part
48,1,Z motor holder back,Printed part
49,6,Z Carriage stopper,Printed part
50,1,Z joint back,Printed part
51,2,Z motor holder front,Printed part
52,1,Z Front Left Joint,Printed Part
53,1,Z Front left Joint Cover,Printed Part
54,1,Z joint right,Printed part
55,1,Joint cover right,Printed part
56,1,Bed support back,Printed part
57,1,Bed support left,Printed part
58,1,Z Right Bed Holder,Printed Part
59,1,AB motor mount BottomLeft,Printed part
60,1,AB motor mount TopLeft,Printed part
61,2,Y Carriage stopper,Printed part
62,1,Front Left Holder Medusa9H,Printed part
63,1,Left Tensioner Bottom,Printed part
64,1,Left Tensioner Top,Printed part
65,1,AB motor mount BottomRight,Printed part
66,1,AB motor mount TopRight,Printed part
67,1,Front Right Holder Medusa9H,Printed part
68,1,Right Tensioner Bottom,Printed part
69,1,Right Tensioner Top,Printed part
70,1,Y Carriage Bottom Left,Printed part
71,1,Y Carriage Bottom Right,Printed part
72,1,Y Carriage Top Left,Printed part
73,1,Y Carriage Top Right,Printed part
74,2,Base FL/BR Foot,Printed Part
75,2,Base Side Skirt,Printed Part
76,2,Base FR/BL Foot,Printed Part
77,1,Base Back Skirt,Printed Part
78,1,Base Back Plug Housing,Printed Part
79,4,Base Fan Dummy,Printed Part
80,1,Base Front Skirt,Printed Part
81,2,Base Insert,Printed Part
82,4,Base Fan Grill,Printed Part
83,1,HDMI5 Mount,Printed Part
84,1,HDMI5 Frame,Printed Part
